symbol,industry,name
360ONE,Financial Services,360 ONE WAM Ltd.
3MINDIA,Diversified,3M India Ltd.
AADHARHFC,Financial Services,Aadhar Housing Finance Ltd.
AARTIDRUGS,Healthcare,Aarti Drugs Ltd.
AARTIIND,Chemicals,Aarti Industries Ltd.
AARTIPHARM,Healthcare,Aarti Pharmalabs Ltd.
AAVAS,Financial Services,Aavas Financiers Ltd.
ABB,Capital Goods,ABB India Ltd.
ABBOTINDIA,Healthcare,Abbott India Ltd.
ABCAPITAL,Financial Services,Aditya Birla Capital Ltd.
ABDL,Fast Moving Consumer Goods,Allied Blenders and Distillers Ltd.
ABFRL,Consumer Services,Aditya Birla Fashion and Retail Ltd.
ABLBL,Consumer Services,Aditya Birla Lifestyle Brands Ltd.
ABREL,Realty,Aditya Birla Real Estate Ltd.
ABSLAMC,Financial Services,Aditya Birla Sun Life AMC Ltd.
ACC,Construction Materials,ACC Ltd.
ACE,Capital Goods,Action Construction Equipment Ltd.
ACI,Chemicals,Archean Chemical Industries Ltd.
ACMESOLAR,Power,ACME Solar Holdings Ltd.
ACUTAAS,Healthcare,Acutaas Chemicals Ltd.
ADANIENSOL,Power,Adani Energy Solutions Ltd.
ADANIENT,Metals & Mining,Adani Enterprises Ltd.
ADANIGREEN,Power,Adani Green Energy Ltd.
ADANIPORTS,Services,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Power,Adani Power Ltd.
ADVENZYMES,Healthcare,Advanced Enzyme Tech Ltd.
AEGISLOG,Oil Gas & Consumable Fuels,Aegis Logistics Ltd.
AEGISVOPAK,Oil Gas & Consumable Fuels,Aegis Vopak Terminals Ltd.
AEQUS,Capital Goods,Aequs Ltd.
AETHER,Chemicals,Aether Industries Ltd.
AFCONS,Construction,Afcons Infrastructure Ltd.
AFFLE,Information Technology,Affle 3i Ltd.
AGARWALEYE,Healthcare,Dr. Agarwal's Health Care Ltd.
AHLUCONT,Construction,Ahluwalia Contracts (India) Ltd.
AIAENG,Capital Goods,AIA Engineering Ltd.
AIIL,Financial Services,Authum Investment & Infrastructure Ltd.
